                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 0.4361,                0.22496,                0.86492,                 0.4596,                0.16059,                0.87186,                0.98667,                      1,                0.99433,                 0.8911,                0.47939,                0.20559,                0.89762,                0.48275,                0.15139,                0.90172,             0.00036324,             0.00036324,             0.00036324
                     82,                0.43347,                0.22281,                0.84411,                0.46019,                0.17155,                0.85104,                0.99504,                0.99963,                 0.9946,                0.89302,                0.49399,                0.20514,                0.90218,                0.49014,                0.15206,                0.90619,             0.00034674,             0.00034674,             0.00034674
                     83,                0.42752,                0.22125,                0.85312,                0.44901,                0.16043,                0.85881,                0.99178,                0.99995,                0.99463,                0.88774,                0.50098,                0.20626,                0.90506,                0.50514,                0.14912,                0.91227,             0.00033023,             0.00033023,             0.00033023
                     84,                0.43168,                0.22156,                0.85985,                0.45267,                0.15801,                0.86676,                0.99522,                      1,                0.99449,                0.89438,                0.47998,                0.19741,                0.90236,                0.48572,                0.14231,                0.90622,             0.00031373,             0.00031373,             0.00031373
                     85,                0.41268,                0.21313,                0.85862,                0.42794,                0.15456,                0.86306,                0.99502,                0.99655,                0.99449,                0.88368,                0.48844,                0.20251,                0.90339,                0.49589,                0.14739,                0.90893,             0.00029723,             0.00029723,             0.00029723
                     86,                0.40939,                0.20818,                 0.8557,                0.43312,                0.15002,                0.86225,                0.99309,                0.99932,                0.99419,                0.88946,                0.48823,                0.20127,                0.90144,                0.48734,                  0.148,                0.90657,             0.00028072,             0.00028072,             0.00028072
                     87,                 0.4173,                 0.2115,                0.85385,                0.43586,                0.15259,                0.85922,                0.99454,                      1,                0.99426,                0.88973,                 0.4788,                0.19542,                0.89895,                0.48083,                0.14135,                0.90534,             0.00026422,             0.00026422,             0.00026422
                     88,                0.41366,                0.21211,                0.85967,                0.43894,                0.15507,                0.86671,                 0.9948,                0.99909,                0.99438,                0.89348,                0.48217,                0.19751,                0.89841,                0.48402,                0.14474,                0.90294,             0.00024772,             0.00024772,             0.00024772
                     89,                 0.4175,                0.21396,                0.85666,                0.43825,                 0.1552,                0.86265,                0.99135,                0.99937,                0.99445,                0.89763,                0.48267,                0.19921,                0.90012,                0.48572,                 0.1446,                0.90446,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.4139,                0.20969,                0.85688,                0.43467,                0.15652,                0.86176,                0.99485,                      1,                 0.9946,                0.88842,                0.48532,                0.19777,                0.90349,                0.48868,                0.14048,                0.90836,             0.00021471,             0.00021471,             0.00021471
